filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
.\.git\objects\57\3c24cca2c2c477251ab10846ed408e8812ad8e,33060,0o100444,-r--r--r--,2251799815443575,3693933532,2,0,0,53,1589480864.1741805,b'2020-05-14 18:27:44',1589480864.1741805,b'2020-05-14 18:27:44',1589480864.1741805,b'2020-05-14 18:27:44'
.\.git\objects\7d\ca7c1f07da7ab473fdbb31409a97175bd5d6b5,33060,0o100444,-r--r--r--,2251799815443751,3693933532,2,0,0,672,1589480864.328767,b'2020-05-14 18:27:44',1589480864.328767,b'2020-05-14 18:27:44',1589480864.328767,b'2020-05-14 18:27:44'
.\.git\objects\87\0acdbf7e55fc137e6eb972ea6d3ef43c5f40db,33060,0o100444,-r--r--r--,2533274792154379,3693933532,2,0,0,23227,1589480864.3098195,b'2020-05-14 18:27:44',1589480864.3098195,b'2020-05-14 18:27:44',1589480864.308822,b'2020-05-14 18:27:44'
.\.git\objects\87\c86b5e2ef6fb8e635bced217de9e2878281871,33060,0o100444,-r--r--r--,3659174698996829,3693933532,2,0,0,550,1589480864.1322925,b'2020-05-14 18:27:44',1589480864.1322925,b'2020-05-14 18:27:44',1589480864.1322925,b'2020-05-14 18:27:44'
.\.git\objects\88\113860664bfd83797b6cc42789caa3f53e414d,33060,0o100444,-r--r--r--,2251799815443638,3693933532,2,0,0,51,1589480864.224048,b'2020-05-14 18:27:44',1589480864.224048,b'2020-05-14 18:27:44',1589480864.224048,b'2020-05-14 18:27:44'
.\.git\objects\8e\db92f89dca5cfd8fbe3768398946b956272103,33060,0o100444,-r--r--r--,2251799815443584,3693933532,2,0,0,50,1589480864.189141,b'2020-05-14 18:27:44',1589480864.189141,b'2020-05-14 18:27:44',1589480864.189141,b'2020-05-14 18:27:44'
.\.git\objects\91\f47e7d71ff5e073160d1de8ef00ab5ad06b441,33060,0o100444,-r--r--r--,2251799815443587,3693933532,2,0,0,130,1589480864.19712,b'2020-05-14 18:27:44',1589480864.19712,b'2020-05-14 18:27:44',1589480864.19712,b'2020-05-14 18:27:44'
.\.git\objects\97\6ca61bf14c290aa391643fc34b63cb3d623ba1,33060,0o100444,-r--r--r--,2251799815443672,3693933532,2,0,0,54,1589480864.2529702,b'2020-05-14 18:27:44',1589480864.2529702,b'2020-05-14 18:27:44',1589480864.2529702,b'2020-05-14 18:27:44'
.\.git\objects\98\6f60e80789f1eb5e57ebbd3f8070569aead52c,33060,0o100444,-r--r--r--,2251799815443579,3693933532,2,0,0,55,1589480864.1811616,b'2020-05-14 18:27:44',1589480864.1811616,b'2020-05-14 18:27:44',1589480864.1811616,b'2020-05-14 18:27:44'
.\.git\objects\a3\feaab407b947c86451fc35fdc013884503e9d7,33060,0o100444,-r--r--r--,2251799815443558,3693933532,2,0,0,516,1589480864.1472528,b'2020-05-14 18:27:44',1589480864.1472528,b'2020-05-14 18:27:44',1589480864.1472528,b'2020-05-14 18:27:44'
