filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
../.git/objects/97/6ca61bf14c290aa391643fc34b63cb3d623ba1,33133,0o100555,-r-xr-xr-x,2251799815443672,14,2,1000,1000,54,1589480864.2529702,b'2020-05-14 18:27:44',1589480864.2529702,b'2020-05-14 18:27:44',1589480902.611863,b'2020-05-14 18:28:22'
../.git/objects/98/6f60e80789f1eb5e57ebbd3f8070569aead52c,33133,0o100555,-r-xr-xr-x,2251799815443579,14,2,1000,1000,55,1589480864.1811616,b'2020-05-14 18:27:44',1589480864.1811616,b'2020-05-14 18:27:44',1589480902.4607089,b'2020-05-14 18:28:22'
../.git/objects/a3/feaab407b947c86451fc35fdc013884503e9d7,33133,0o100555,-r-xr-xr-x,2251799815443558,14,2,1000,1000,516,1589480864.1472528,b'2020-05-14 18:27:44',1589480864.1472528,b'2020-05-14 18:27:44',1589480902.4777,b'2020-05-14 18:28:22'
../.git/objects/ac/506feaca846477f912cbd6bd3c83255214da15,33133,0o100555,-r-xr-xr-x,2251799815443567,14,2,1000,1000,54,1589480864.161215,b'2020-05-14 18:27:44',1589480864.161215,b'2020-05-14 18:27:44',1589480901.833972,b'2020-05-14 18:28:21'
../.git/objects/b0/2d8f975e29dfd80f20200bf0ea0bfaee472278,33133,0o100555,-r-xr-xr-x,2251799815443737,14,2,1000,1000,35111,1589480864.3177962,b'2020-05-14 18:27:44',1589480864.3177962,b'2020-05-14 18:27:44',1589480902.201986,b'2020-05-14 18:28:22'
../.git/objects/b0/a1c012db62e64413a27b0f4c44e47b98762c76,33133,0o100555,-r-xr-xr-x,2251799815443755,14,2,1000,1000,364,1589480864.3337536,b'2020-05-14 18:27:44',1589480864.3337536,b'2020-05-14 18:27:44',1589480902.3007233,b'2020-05-14 18:28:22'
../.git/objects/b0/b75b57727f45dc93641a8f85eeeefc81520a06,33133,0o100555,-r-xr-xr-x,2251799815443597,14,2,1000,1000,54,1589480864.2041004,b'2020-05-14 18:27:44',1589480864.2041004,b'2020-05-14 18:27:44',1589480902.272798,b'2020-05-14 18:28:22'
../.git/objects/b1/b4aa43415cb91f68f37bd8e078adaa6c93644e,33133,0o100555,-r-xr-xr-x,2251799815443685,14,2,1000,1000,1289,1589480864.2679298,b'2020-05-14 18:27:44',1589480864.2679298,b'2020-05-14 18:27:44',1589480902.323662,b'2020-05-14 18:28:22'
../.git/objects/b4/48920181ff15eb3e47507fc028288904961941,33133,0o100555,-r-xr-xr-x,2251799815443678,14,2,1000,1000,50,1589480864.2599509,b'2020-05-14 18:27:44',1589480864.2599509,b'2020-05-14 18:27:44',1589480902.0304465,b'2020-05-14 18:28:22'
../.git/objects/b7/98000b3ac6d855f6fbda65dca4dde9d01a70ae,33133,0o100555,-r-xr-xr-x,2251799815443744,14,2,1000,1000,2923,1589480864.3247774,b'2020-05-14 18:27:44',1589480864.3247774,b'2020-05-14 18:27:44',1589480902.129182,b'2020-05-14 18:28:22'
../.git/objects/c2/ee34101888fe83ed40825d2f00b814de653a7b,33133,0o100555,-r-xr-xr-x,2251799815443718,14,2,1000,1000,443,1589480864.288874,b'2020-05-14 18:27:44',1589480864.288874,b'2020-05-14 18:27:44',1589480902.5848618,b'2020-05-14 18:28:22'
../.git/objects/c5/6503ee584c15bbdeb4cdf61a93f331baa878a9,33133,0o100555,-r-xr-xr-x,2251799815443663,14,2,1000,1000,99,1589480864.2320256,b'2020-05-14 18:27:44',1589480864.2320256,b'2020-05-14 18:27:44',1589480902.401454,b'2020-05-14 18:28:22'
../.git/objects/cc/2ed07ccdd36ca021553fb7da50d09d235f9f9e,33133,0o100555,-r-xr-xr-x,2251799815443732,14,2,1000,1000,382,1589480864.3008425,b'2020-05-14 18:27:44',1589480864.3008425,b'2020-05-14 18:27:44',1589480901.924729,b'2020-05-14 18:28:21'
../.git/objects/ce/70aa89887bbab88c00ed50f7790c7e89a53c11,33133,0o100555,-r-xr-xr-x,2251799815443564,14,2,1000,1000,130,1589480864.1532364,b'2020-05-14 18:27:44',1589480864.1532364,b'2020-05-14 18:27:44',1589480901.9576414,b'2020-05-14 18:28:21'
../.git/objects/dc/2ea78e1c435e54653e3bab12575c3b8d981089,33133,0o100555,-r-xr-xr-x,2251799815443712,14,2,1000,1000,580,1589480864.2818925,b'2020-05-14 18:27:44',1589480864.2818925,b'2020-05-14 18:27:44',1589480902.4188218,b'2020-05-14 18:28:22'
../.git/objects/fd/9b076504c79985a0713ff0116994b64fd8ce20,33133,0o100555,-r-xr-xr-x,2251799815443552,14,2,1000,1000,550,1589480864.139274,b'2020-05-14 18:27:44',1589480864.139274,b'2020-05-14 18:27:44',1589480902.5069857,b'2020-05-14 18:28:22'
../.git/objects/fe/23e5df0deaf4418fa3051dcefac78ed7c617b5,33133,0o100555,-r-xr-xr-x,2251799815443618,14,2,1000,1000,53,1589480864.211082,b'2020-05-14 18:27:44',1589480864.211082,b'2020-05-14 18:27:44',1589480902.5320103,b'2020-05-14 18:28:22'
../.git/refs/heads/master,33279,0o100777,-rwxrwxrwx,2251799815443784,14,1,1000,1000,41,1589480864.397583,b'2020-05-14 18:27:44',1589480864.397583,b'2020-05-14 18:27:44',1589480903.5852506,b'2020-05-14 18:28:23'
../.git/refs/remotes/origin/HEAD,33279,0o100777,-rwxrwxrwx,2251799815443772,14,1,1000,1000,32,1589480864.3935935,b'2020-05-14 18:27:44',1589480864.3935935,b'2020-05-14 18:27:44',1589480921.0590637,b'2020-05-14 18:28:41'
../.vs/ProjectSettings.json,33279,0o100777,-rwxrwxrwx,11540474046895504,14,1,1000,1000,37,1589480869.562823,b'2020-05-14 18:27:49',1589480869.562823,b'2020-05-14 18:27:49',1589480923.735572,b'2020-05-14 18:28:43'
../.vs/slnx.sqlite,33279,0o100777,-rwxrwxrwx,14073748837291401,14,1,1000,1000,90112,1589482885.6970708,b'2020-05-14 19:01:25',1589482885.6970708,b'2020-05-14 19:01:25',1589482893.8925853,b'2020-05-14 19:01:33'
../.vs/osstat/v16/.suo,33279,0o100777,-rwxrwxrwx,2251799815444100,14,1,1000,1000,39936,1589482491.017263,b'2020-05-14 18:54:51',1589482491.014,b'2020-05-14 18:54:51',1589482499.444921,b'2020-05-14 18:54:59'
../bin/osstat.py,33279,0o100777,-rwxrwxrwx,22517998136871407,14,1,1000,1000,4018,1589482885.526529,b'2020-05-14 19:01:25',1589482885.526529,b'2020-05-14 19:01:25',1589482893.6940756,b'2020-05-14 19:01:33'
../doc/README.md,33279,0o100777,-rwxrwxrwx,20266198324925337,14,1,1000,1000,1749,1589482060.8980029,b'2020-05-14 18:47:40',1589482060.8980029,b'2020-05-14 18:47:40',1589482069.4945335,b'2020-05-14 18:47:49'
../flussi/osstat_w.csv,33279,0o100777,-rwxrwxrwx,56013520365442724,14,1,1000,1000,0,1589482770.7060773,b'2020-05-14 18:59:30',1589482770.7060773,b'2020-05-14 18:59:30',1589482779.208651,b'2020-05-14 18:59:39'
../flussi/osstat_x.csv,33279,0o100777,-rwxrwxrwx,178736610211286230,14,1,1000,1000,13279,1589482985.119706,b'2020-05-14 19:03:05',1589482985.119706,b'2020-05-14 19:03:05',1589482985.119706,b'2020-05-14 19:03:05'
../log/log.log,33279,0o100777,-rwxrwxrwx,32932572276576225,14,1,1000,1000,341620,1589482983.8092124,b'2020-05-14 19:03:03',1589482983.8092124,b'2020-05-14 19:03:03',1589482983.8092124,b'2020-05-14 19:03:03'
