platform,filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
Windows,.\.git\logs\refs\heads\master,33206,0o100666,-rw-rw-rw-,844424932073255,3693933532,1,0,0,201,1590224630.9932067,b'2020-05-23 09:03:50',1590224630.9932067,b'2020-05-23 09:03:50',1590224630.9932067,b'2020-05-23 09:03:50'
Windows,.\.git\logs\refs\remotes\origin\HEAD,33206,0o100666,-rw-rw-rw-,844424932073250,3693933532,1,0,0,201,1590224630.9782465,b'2020-05-23 09:03:50',1590224630.9782465,b'2020-05-23 09:03:50',1590224630.9752543,b'2020-05-23 09:03:50'
Windows,.\.git\objects\12\8d7b771b047d7a106c2adfad0ccdaf42c051e0,33060,0o100444,-r--r--r--,844424932073165,3693933532,2,0,0,54,1590224630.2562158,b'2020-05-23 09:03:50',1590224630.2562158,b'2020-05-23 09:03:50',1590224630.2552085,b'2020-05-23 09:03:50'
Windows,.\.git\objects\15\5981b7d0ea692b7a758894672501d13dddf04a,33060,0o100444,-r--r--r--,1407374885494527,3693933532,2,0,0,1042,1590224630.60488,b'2020-05-23 09:03:50',1590224630.60488,b'2020-05-23 09:03:50',1590224630.60488,b'2020-05-23 09:03:50'
Windows,.\.git\objects\18\952400df075e82df3fbd810417cfa59ea9633f,33060,0o100444,-r--r--r--,1125899908783889,3693933532,2,0,0,2864,1590224630.6944897,b'2020-05-23 09:03:50',1590224630.6944897,b'2020-05-23 09:03:50',1590224630.6934924,b'2020-05-23 09:03:50'
Windows,.\.git\objects\1e\85ab76d2165a9554fcc84c471bb254a85296c2,33060,0o100444,-r--r--r--,1125899908783829,3693933532,2,0,0,134,1590224630.3041697,b'2020-05-23 09:03:50',1590224630.3041697,b'2020-05-23 09:03:50',1590224630.3041697,b'2020-05-23 09:03:50'
Windows,.\.git\objects\24\952c1d482ee562d70c391abb8e8bc4031bddf1,33060,0o100444,-r--r--r--,1125899908783855,3693933532,2,0,0,53,1590224630.4486942,b'2020-05-23 09:03:50',1590224630.4486942,b'2020-05-23 09:03:50',1590224630.4486942,b'2020-05-23 09:03:50'
Windows,.\.git\objects\28\f84155f85963264343d379d232a6ad9b10df92,33060,0o100444,-r--r--r--,1125899908783866,3693933532,2,0,0,5020,1590224630.561995,b'2020-05-23 09:03:50',1590224630.561995,b'2020-05-23 09:03:50',1590224630.560001,b'2020-05-23 09:03:50'
Windows,.\.git\objects\2d\28606e60f391714faf51465f2373694b61d18c,33060,0o100444,-r--r--r--,1125899908783861,3693933532,2,0,0,135,1590224630.505146,b'2020-05-23 09:03:50',1590224630.505146,b'2020-05-23 09:03:50',1590224630.505146,b'2020-05-23 09:03:50'
Windows,.\.git\objects\34\f062c23da0022ace0cd6f554495973c8a89de8,33060,0o100444,-r--r--r--,1125899908783849,3693933532,2,0,0,55,1590224630.4152129,b'2020-05-23 09:03:50',1590224630.4152129,b'2020-05-23 09:03:50',1590224630.4142153,b'2020-05-23 09:03:50'
Windows,.\.git\objects\42\b078d9b5db08b10502e3189e8838fb1fc776fb,33060,0o100444,-r--r--r--,1125899908783879,3693933532,2,0,0,999,1590224630.6377914,b'2020-05-23 09:03:50',1590224630.6377914,b'2020-05-23 09:03:50',1590224630.6377914,b'2020-05-23 09:03:50'
Windows,.\.git\objects\51\0a277832c412712cc66737fc47c7e7223fbd1c,33060,0o100444,-r--r--r--,1125899908783875,3693933532,2,0,0,673,1590224630.6298132,b'2020-05-23 09:03:50',1590224630.6298132,b'2020-05-23 09:03:50',1590224630.6288157,b'2020-05-23 09:03:50'
Windows,.\.git\objects\57\3c24cca2c2c477251ab10846ed408e8812ad8e,33060,0o100444,-r--r--r--,1125899908783837,3693933532,2,0,0,53,1590224630.350163,b'2020-05-23 09:03:50',1590224630.350163,b'2020-05-23 09:03:50',1590224630.3491654,b'2020-05-23 09:03:50'
Windows,.\.git\objects\5c\0e2cc9898fa6e63e871357b921da1a3cadd8d4,33060,0o100444,-r--r--r--,1125899908783816,3693933532,2,0,0,49,1590224630.228227,b'2020-05-23 09:03:50',1590224630.228227,b'2020-05-23 09:03:50',1590224630.227218,b'2020-05-23 09:03:50'
Windows,.\.git\objects\61\57dbcbf4363a3c1be329769b23b433972b7d12,33060,0o100444,-r--r--r--,1125899908783825,3693933532,2,0,0,50,1590224630.2801938,b'2020-05-23 09:03:50',1590224630.2801938,b'2020-05-23 09:03:50',1590224630.2801938,b'2020-05-23 09:03:50'
Windows,.\.git\objects\72\cb5668ce680f296ba97b4e65b7a195bd935aa4,33060,0o100444,-r--r--r--,1125899908783819,3693933532,2,0,0,54,1590224630.2432423,b'2020-05-23 09:03:50',1590224630.2432423,b'2020-05-23 09:03:50',1590224630.2423174,b'2020-05-23 09:03:50'
Windows,.\.git\objects\78\53762e8a49f0d988eb41fd3adb8d2c780210de,33060,0o100444,-r--r--r--,1125899908783873,3693933532,2,0,0,1584,1590224630.5969017,b'2020-05-23 09:03:50',1590224630.5969017,b'2020-05-23 09:03:50',1590224630.5969017,b'2020-05-23 09:03:50'
Windows,.\.git\objects\7d\ca7c1f07da7ab473fdbb31409a97175bd5d6b5,33060,0o100444,-r--r--r--,1407374885494551,3693933532,2,0,0,672,1590224630.7722826,b'2020-05-23 09:03:50',1590224630.7722826,b'2020-05-23 09:03:50',1590224630.7722826,b'2020-05-23 09:03:50'
Windows,.\.git\objects\87\0acdbf7e55fc137e6eb972ea6d3ef43c5f40db,33060,0o100444,-r--r--r--,1125899908783896,3693933532,2,0,0,23227,1590224630.785246,b'2020-05-23 09:03:50',1590224630.785246,b'2020-05-23 09:03:50',1590224630.781257,b'2020-05-23 09:03:50'
Windows,.\.git\objects\87\c86b5e2ef6fb8e635bced217de9e2878281871,33060,0o100444,-r--r--r--,844424932073149,3693933532,2,0,0,550,1590224630.1631775,b'2020-05-23 09:03:50',1590224630.1631775,b'2020-05-23 09:03:50',1590224630.1631775,b'2020-05-23 09:03:50'
Windows,.\.git\objects\88\113860664bfd83797b6cc42789caa3f53e414d,33060,0o100444,-r--r--r--,844424932073195,3693933532,2,0,0,51,1590224630.4251883,b'2020-05-23 09:03:50',1590224630.4251883,b'2020-05-23 09:03:50',1590224630.4251883,b'2020-05-23 09:03:50'
